City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Madang,PG,74.89,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
1,Rikitea,PF,75.42,broken clouds,-23.1203,-134.9692,People ThankYou
5,Isangel,VU,77.68,overcast clouds,-19.55,169.2667,Tanna Lodge
7,Lodja,CD,71.65,moderate rain,-3.4833,23.4333,
9,Hilo,US,74.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
13,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Vilcun,CL,72.34,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
18,Cosala,MX,76.12,broken clouds,24.4125,-106.6908,Hotel Real del Conde
20,Wattegama,LK,74.43,few clouds,6.7989,81.4808,
22,Faanui,PF,80.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Tignere,CM,78.17,clear sky,7.3667,12.65,SADECK
25,Miandrivazo,MG,88.93,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
27,Matara,LK,77.41,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
28,Tessalit,ML,78.58,scattered clouds,20.1986,1.0114,
30,Liuli,TZ,83.41,scattered clouds,-11.0833,34.6333,"Puulu Beach,Puulu Village"
32,Bowen,AU,73.62,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
34,Kudahuvadhoo,MV,82.45,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
35,Thinadhoo,MV,82.76,overcast clouds,0.5333,72.9333,
39,Buluang,PH,71.42,broken clouds,13.3068,123.3425,Enon Beach Resort
40,Pimentel,PE,71.89,few clouds,-6.8367,-79.9342,Casona Del Muelle
42,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
45,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Labuhan,ID,78.06,heavy intensity rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
49,Bengkulu,ID,75.47,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
50,Alice Springs,AU,80.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
60,Beloha,MG,79.75,clear sky,-25.1667,45.05,
64,Cidreira,BR,73.18,broken clouds,-30.1811,-50.2056,Hotel Castelo
67,Gorahun,SL,83.05,broken clouds,7.4661,-11.2375,
71,Borda Da Mata,BR,85.32,scattered clouds,-22.2742,-46.1653,Hotel Village
75,Aiquile,BO,75.79,broken clouds,-18.2041,-65.1807,Hotel Santa Ana
77,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
