City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Leogane,HT,18.5108,-72.6339,80.8,79,72,2.71,broken clouds
1,Thompson,CA,55.7435,-97.8558,-9.24,84,75,3.44,light snow
2,Beloslav,BG,43.1833,27.7,40.78,100,40,2.3,scattered clouds
3,Butaritari,KI,3.0707,172.7902,83.3,78,40,19.69,scattered clouds
4,Abasolo,MX,20.45,-101.5167,79.54,23,51,2.04,broken clouds
5,Lavrentiya,RU,65.5833,-171.0,18.66,93,58,3.69,light snow
6,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,88,75,6.35,broken clouds
7,Tiksi,RU,71.6872,128.8694,-20.0,91,100,0.83,overcast clouds
8,Georgetown,MY,5.4112,100.3354,78.89,85,20,8.05,few clouds
9,Haines Junction,CA,60.7522,-137.5108,-29.25,68,36,1.14,scattered clouds
10,Port Alfred,ZA,-33.5906,26.891,67.91,95,100,24.4,light rain
11,Etchoropo,MX,26.7667,-109.6667,83.41,38,99,13.67,overcast clouds
12,Busselton,AU,-33.65,115.3333,70.2,42,4,9.93,clear sky
13,Ushuaia,AR,-54.8,-68.3,49.66,53,40,18.41,scattered clouds
14,Moron,AR,-34.6534,-58.6198,70.02,79,90,5.99,overcast clouds
15,Muscat,OM,23.6139,58.5922,69.82,63,21,7.2,few clouds
16,Jamestown,US,42.097,-79.2353,37.09,74,40,8.01,scattered clouds
17,Cascais,PT,38.6979,-9.4215,56.05,71,0,1.01,clear sky
18,Port-Gentil,GA,-0.7193,8.7815,80.13,84,100,13.71,light rain
19,Inhambane,MZ,-23.865,35.3833,76.95,89,0,11.63,clear sky
20,Yellowknife,CA,62.456,-114.3525,-26.59,81,20,6.91,few clouds
21,Mao,ES,39.8885,4.2658,55.96,71,0,2.3,clear sky
22,Chiredzi,ZW,-21.05,31.6667,75.76,53,10,8.03,clear sky
23,Caruray,PH,10.3094,119.0128,79.41,79,91,11.77,overcast clouds
24,Nikolskoye,RU,59.7035,30.7861,12.02,94,98,6.17,overcast clouds
25,Pokrovsk,UA,48.282,37.1758,32.04,95,100,13.47,overcast clouds
26,Virginia Beach,US,36.8529,-75.978,54.0,74,75,6.91,broken clouds
27,Luganville,VU,-15.5333,167.1667,83.64,66,99,8.7,overcast clouds
